"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17177","should complete add → search → delete employee flow","regression-chromium","Mon Apr 27 04:57:09 UTC 2026","passed","Mon Apr 27 04:57:26 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","928","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","Mon Apr 27 04:58:17 UTC 2026","passed","Mon Apr 27 04:58:18 UTC 2026","","","",""
"","879","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","Mon Apr 27 04:58:16 UTC 2026","passed","Mon Apr 27 04:58:17 UTC 2026","","","",""
"","911","@smoke product cost validation","smoke-chromium","Mon Apr 27 04:58:18 UTC 2026","passed","Mon Apr 27 04:58:19 UTC 2026","","","",""
"","5736","should login successfully with valid credentials","auth-chromium","Mon Apr 27 04:56:57 UTC 2026","passed","Mon Apr 27 04:57:03 UTC 2026","@auth Login Smoke Suite","","",""
"","879","@smoke Verify page title","smoke-chromium","Mon Apr 27 04:56:54 UTC 2026","passed","Mon Apr 27 04:56:55 UTC 2026","","","",""
"","1481","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","Mon Apr 27 04:58:14 UTC 2026","passed","Mon Apr 27 04:58:15 UTC 2026","","","",""
"","849","@smoke find specific product another way","smoke-chromium","Mon Apr 27 04:57:14 UTC 2026","passed","Mon Apr 27 04:57:15 UTC 2026","","","",""
"","18120","should complete add → search → delete employee flow","regression-firefox","Mon Apr 27 04:57:09 UTC 2026","passed","Mon Apr 27 04:57:27 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","1386","@smoke find specific product","smoke-chromium","Mon Apr 27 04:57:13 UTC 2026","passed","Mon Apr 27 04:57:14 UTC 2026","","","",""
"","19730","should complete add → search → delete employee flow","regression-webkit","Mon Apr 27 04:57:27 UTC 2026","passed","Mon Apr 27 04:57:47 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","8944","Authenticate","setup-webkit","Mon Apr 27 04:56:51 UTC 2026","passed","Mon Apr 27 04:57:00 UTC 2026","","","",""
"","4567","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","Mon Apr 27 04:56:54 UTC 2026","passed","Mon Apr 27 04:56:59 UTC 2026","@smoke Navigation to PIM","","",""
"","5908","Authenticate","setup-chromium","Mon Apr 27 04:58:07 UTC 2026","passed","Mon Apr 27 04:58:12 UTC 2026","","","",""
"","7934","Authenticate","setup-firefox","Mon Apr 27 04:56:51 UTC 2026","passed","Mon Apr 27 04:56:59 UTC 2026","","","",""
"","1257","@smoke add to cart functionality","smoke-chromium","Mon Apr 27 04:57:13 UTC 2026","passed","Mon Apr 27 04:57:14 UTC 2026","","","",""
"","1298","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","Mon Apr 27 04:58:15 UTC 2026","passed","Mon Apr 27 04:58:16 UTC 2026","","","",""
"","7257","should allow user to logout successfully","auth-chromium","Mon Apr 27 04:57:04 UTC 2026","passed","Mon Apr 27 04:57:11 UTC 2026","@auth Logout Flow","","",""
