"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","839","@smoke Verify page title","smoke-chromium","Tue Apr 28 05:19:12 UTC 2026","passed","Tue Apr 28 05:19:12 UTC 2026","","","",""
"","1329","@smoke find specific product","smoke-chromium","Tue Apr 28 05:19:30 UTC 2026","passed","Tue Apr 28 05:19:31 UTC 2026","","","",""
"","13359","Authenticate","setup-firefox","Tue Apr 28 05:19:17 UTC 2026","passed","Tue Apr 28 05:19:30 UTC 2026","","","",""
"","20606","should complete add → search → delete employee flow","regression-firefox","Tue Apr 28 05:19:41 UTC 2026","passed","Tue Apr 28 05:20:02 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","669","@smoke find specific product another way","smoke-chromium","Tue Apr 28 05:19:32 UTC 2026","passed","Tue Apr 28 05:19:32 UTC 2026","","","",""
"","17891","should allow user to logout successfully","auth-chromium","Tue Apr 28 05:19:11 UTC 2026","passed","Tue Apr 28 05:19:29 UTC 2026","@auth Logout Flow","","",""
"","1264","@smoke add to cart functionality","smoke-chromium","Tue Apr 28 05:19:30 UTC 2026","passed","Tue Apr 28 05:19:31 UTC 2026","","","",""
"","10149","should login successfully with valid credentials","auth-chromium","Tue Apr 28 05:19:00 UTC 2026","passed","Tue Apr 28 05:19:11 UTC 2026","@auth Login Smoke Suite","","",""
"","20480","should complete add → search → delete employee flow","regression-webkit","Tue Apr 28 05:20:01 UTC 2026","passed","Tue Apr 28 05:20:21 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","1813","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","Tue Apr 28 05:19:38 UTC 2026","passed","Tue Apr 28 05:19:40 UTC 2026","","","",""
"","1604","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","Tue Apr 28 05:19:37 UTC 2026","passed","Tue Apr 28 05:19:38 UTC 2026","","","",""
"","693","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","Tue Apr 28 05:19:40 UTC 2026","passed","Tue Apr 28 05:19:41 UTC 2026","","","",""
"","17575","Authenticate","setup-webkit","Tue Apr 28 05:19:17 UTC 2026","passed","Tue Apr 28 05:19:35 UTC 2026","","","",""
"","18385","should complete add → search → delete employee flow","regression-chromium","Tue Apr 28 05:19:41 UTC 2026","passed","Tue Apr 28 05:20:00 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","21118","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","Tue Apr 28 05:19:12 UTC 2026","passed","Tue Apr 28 05:19:33 UTC 2026","@smoke Navigation to PIM","","",""
"","7096","Authenticate","setup-chromium","Tue Apr 28 05:19:33 UTC 2026","passed","Tue Apr 28 05:19:40 UTC 2026","","","",""
"","688","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","Tue Apr 28 05:19:41 UTC 2026","passed","Tue Apr 28 05:19:41 UTC 2026","","","",""
"","604","@smoke product cost validation","smoke-chromium","Tue Apr 28 05:19:41 UTC 2026","passed","Tue Apr 28 05:19:42 UTC 2026","","","",""
