"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6635","Authenticate","setup-chromium","2026-07-02","passed","2026-07-02","","","",""
"","11891","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","2026-07-02","passed","2026-07-02","@smoke Navigation to PIM","","",""
"","9326","Employee Self Service user should not access PIM via UI or direct URL","edge-webkit","2026-07-02","failed","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","10116","Employee Self Service user should not access PIM via UI or direct URL","edge-firefox","2026-07-02","failed","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","1132","@smoke find specific product another way","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","32230","ESS user should see masked sensitive employee data and restricted edit access","edge-chromium","2026-07-02","broken","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","32553","ESS user should see masked sensitive employee data and restricted edit access","edge-webkit","2026-07-02","broken","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","4763","should login successfully with valid credentials","auth-chromium","2026-07-02","passed","2026-07-02","@auth Login Smoke Suite","","",""
"","23210","Authenticate","setup-webkit","2026-07-02","passed","2026-07-02","","","",""
"","6530","Authenticate","setup-firefox","2026-07-02","passed","2026-07-02","","","",""
"","10688","Employee Self Service user should not access PIM via UI or direct URL","edge-chromium","2026-07-02","failed","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","12141","should complete employee lifecycle: create → delete → verify absence","regression-chromium","2026-07-02","passed","2026-07-02","@regression PIM Employee Lifecycle","","",""
"","30393","ESS user should see masked sensitive employee data and restricted edit access","edge-firefox","2026-07-02","broken","2026-07-02","@edge PIM Security & Edge Cases","","",""
"","785","@smoke product cost validation","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","13907","should complete employee lifecycle: create → delete → verify absence","regression-firefox","2026-07-02","passed","2026-07-02","@regression PIM Employee Lifecycle","","",""
"","1888","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","4884","should logout user and invalidate session","auth-chromium","2026-07-02","passed","2026-07-02","@auth Logout Flow","","",""
"","1062","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","853","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","1482","@smoke find specific product","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","712","@smoke Verify page title","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","1289","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
"","288","Should successfully provision a new employee record via POST","api-only","2026-07-02","failed","2026-07-02","OrangeHRM - PIM Module REST API Validations","","",""
"","21181","should complete employee lifecycle: create → delete → verify absence","regression-webkit","2026-07-02","passed","2026-07-02","@regression PIM Employee Lifecycle","","",""
"","1400","@smoke add to cart functionality","smoke-chromium","2026-07-02","passed","2026-07-02","","","",""
