"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","868","@smoke Verify page title","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","1458","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","11539","Authenticate","setup-firefox","2026-08-20","passed","2026-08-20","","","",""
"","714","@smoke find specific product another way","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","1","should login successfully with valid credentials","auth-chromium","2026-08-20","skipped","2026-08-20","@auth Login Smoke Suite","","",""
"","1459","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","1185","@smoke add to cart functionality","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","819","@smoke find specific product","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","11152","Authenticate","setup-webkit","2026-08-20","passed","2026-08-20","","","",""
"","1114","@smoke product cost validation","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","93015","should complete employee lifecycle: create → delete → verify absence","regression-firefox","2026-08-20","failed","2026-08-20","@regression PIM Employee Lifecycle","","",""
"","41164","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","2026-08-20","failed","2026-08-20","@smoke Navigation to PIM","","",""
"","1725","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","2047","Should successfully provision a new employee record via POST","api-only","2026-08-20","passed","2026-08-20","OrangeHRM - PIM Module REST API Validations","","",""
"","93927","should complete employee lifecycle: create → delete → verify absence","regression-chromium","2026-08-20","failed","2026-08-20","@regression PIM Employee Lifecycle","","",""
"","1231","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","2026-08-20","passed","2026-08-20","","","",""
"","8196","Authenticate","setup-chromium","2026-08-20","passed","2026-08-20","","","",""
"","70575","should complete employee lifecycle: create → delete → verify absence","regression-webkit","2026-08-20","failed","2026-08-20","@regression PIM Employee Lifecycle","","",""
"","0","should logout user and invalidate session","auth-chromium","2026-08-20","skipped","2026-08-20","@auth Logout Flow","","",""
