"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14521","should complete employee lifecycle: create → delete → verify absence","regression-firefox","Sat May 02 04:49:45 UTC 2026","passed","Sat May 02 04:50:00 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","880","@smoke Verify page title","smoke-chromium","Sat May 02 04:49:26 UTC 2026","passed","Sat May 02 04:49:27 UTC 2026","","","",""
"","1281","@smoke find specific product","smoke-chromium","Sat May 02 04:49:34 UTC 2026","passed","Sat May 02 04:49:36 UTC 2026","","","",""
"","764","@smoke product cost validation","smoke-chromium","Sat May 02 04:49:28 UTC 2026","passed","Sat May 02 04:49:28 UTC 2026","","","",""
"","1488","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","Sat May 02 04:49:23 UTC 2026","passed","Sat May 02 04:49:25 UTC 2026","","","",""
"","14218","should complete employee lifecycle: create → delete → verify absence","regression-webkit","Sat May 02 04:50:01 UTC 2026","passed","Sat May 02 04:50:15 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","7753","Authenticate","setup-webkit","Sat May 02 04:49:30 UTC 2026","passed","Sat May 02 04:49:37 UTC 2026","","","",""
"","8281","should logout user and invalidate session","auth-chromium","Sat May 02 04:49:25 UTC 2026","passed","Sat May 02 04:49:33 UTC 2026","@auth Logout Flow","","",""
"","842","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","Sat May 02 04:49:27 UTC 2026","passed","Sat May 02 04:49:28 UTC 2026","","","",""
"","14131","should complete employee lifecycle: create → delete → verify absence","regression-chromium","Sat May 02 04:49:45 UTC 2026","passed","Sat May 02 04:50:00 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","9713","should login successfully with valid credentials","auth-chromium","Sat May 02 04:49:14 UTC 2026","passed","Sat May 02 04:49:24 UTC 2026","@auth Login Smoke Suite","","",""
"","820","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","Sat May 02 04:49:26 UTC 2026","passed","Sat May 02 04:49:27 UTC 2026","","","",""
"","8065","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","Sat May 02 04:49:26 UTC 2026","passed","Sat May 02 04:49:34 UTC 2026","@smoke Navigation to PIM","","",""
"","755","@smoke find specific product another way","smoke-chromium","Sat May 02 04:49:36 UTC 2026","passed","Sat May 02 04:49:37 UTC 2026","","","",""
"","1244","@smoke add to cart functionality","smoke-chromium","Sat May 02 04:49:34 UTC 2026","passed","Sat May 02 04:49:36 UTC 2026","","","",""
"","4632","Authenticate","setup-chromium","Sat May 02 04:49:40 UTC 2026","passed","Sat May 02 04:49:44 UTC 2026","","","",""
"","8706","Authenticate","setup-firefox","Sat May 02 04:49:30 UTC 2026","passed","Sat May 02 04:49:38 UTC 2026","","","",""
"","1273","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","Sat May 02 04:49:25 UTC 2026","passed","Sat May 02 04:49:26 UTC 2026","","","",""
